epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4452,1.55072,1.8695,1.34706,0.69897,0.35842,0.40798,0.21649,1.74783,2.14825,1.8678,0.000547247,0.000547247,0.000547247
2,46.8988,1.5531,1.23851,1.34155,0.7376,0.36767,0.42704,0.22024,1.72345,2.49532,1.90633,0.00109927,0.00109927,0.00109927
3,69.0498,1.5683,1.21058,1.36619,0.68348,0.19869,0.20296,0.08506,2.32131,10.8,2.33016,0.00164763,0.00164763,0.00164763
4,90.4961,1.59238,1.26389,1.38349,0.83614,0.40929,0.4674,0.26302,1.7182,2.7058,1.75935,0.0016505,0.0016505,0.0016505
5,111.99,1.48578,1.07597,1.30511,0.78697,0.42898,0.46036,0.22437,1.89166,1.92558,1.71657,0.001645,0.001645,0.001645
6,133.399,1.49589,1.1167,1.33034,0.6522,0.42564,0.45576,0.25783,1.71156,2.03873,1.61647,0.00163949,0.00163949,0.00163949
7,154.601,1.45924,1.05779,1.31237,0.70245,0.29562,0.34013,0.16478,1.99888,1.84524,1.96426,0.00163399,0.00163399,0.00163399
8,175.993,1.41142,0.99654,1.27279,0.77397,0.50374,0.56223,0.32391,1.55696,1.85628,1.51788,0.00162849,0.00162849,0.00162849
9,197.709,1.4088,0.9835,1.26483,0.78333,0.46309,0.51427,0.29244,1.50994,1.69513,1.43375,0.00162299,0.00162299,0.00162299
10,219.047,1.40093,0.99162,1.27159,0.71764,0.54163,0.58801,0.34249,1.43243,1.12439,1.37621,0.00161749,0.00161749,0.00161749
11,240.296,1.37186,0.93723,1.24111,0.65523,0.51882,0.53782,0.31275,1.51227,1.21759,1.44513,0.00161199,0.00161199,0.00161199
12,261.629,1.35183,0.92066,1.24293,0.77124,0.53024,0.58879,0.34967,1.401,1.0837,1.39318,0.00160649,0.00160649,0.00160649
13,283.061,1.32328,0.86647,1.21339,0.88393,0.48691,0.56654,0.33837,1.44572,1.096,1.3856,0.00160099,0.00160099,0.00160099
14,304.33,1.30908,0.86941,1.21378,0.72924,0.51805,0.56961,0.33883,1.48639,1.37449,1.39072,0.00159549,0.00159549,0.00159549
15,325.547,1.31412,0.87168,1.22137,0.7778,0.5923,0.64748,0.3577,1.39236,1.01045,1.34798,0.00158998,0.00158998,0.00158998
16,346.987,1.29156,0.86396,1.20449,0.75812,0.56636,0.62123,0.36297,1.33415,0.99154,1.32337,0.00158448,0.00158448,0.00158448
17,368.658,1.2885,0.83978,1.19147,0.70584,0.58363,0.60973,0.37161,1.41477,1.03243,1.3374,0.00157898,0.00157898,0.00157898
18,390.139,1.25606,0.81402,1.17878,0.73709,0.57427,0.62729,0.36828,1.39393,0.97085,1.36854,0.00157348,0.00157348,0.00157348
19,411.649,1.23682,0.8008,1.17918,0.78266,0.60307,0.65681,0.39646,1.30618,0.9746,1.2814,0.00156798,0.00156798,0.00156798
20,433.074,1.274,0.81472,1.18546,0.78212,0.58719,0.64321,0.36581,1.37317,0.93969,1.33566,0.00156248,0.00156248,0.00156248
21,454.47,1.25037,0.80431,1.17223,0.82083,0.60395,0.66121,0.39255,1.33468,0.98726,1.31663,0.00155698,0.00155698,0.00155698
22,475.938,1.21261,0.76193,1.15755,0.77183,0.63862,0.68502,0.40179,1.307,0.88178,1.29184,0.00155148,0.00155148,0.00155148
23,497.492,1.23402,0.78059,1.16909,0.78412,0.66667,0.70208,0.40666,1.33669,0.86333,1.34547,0.00154598,0.00154598,0.00154598
24,518.932,1.24625,0.77722,1.15895,0.79155,0.63228,0.67878,0.39026,1.39965,0.9456,1.37218,0.00154047,0.00154047,0.00154047
25,540.279,1.20919,0.76293,1.15207,0.83395,0.63955,0.70652,0.41801,1.30715,0.85485,1.29344,0.00153497,0.00153497,0.00153497
26,561.813,1.19657,0.72326,1.13749,0.83071,0.61775,0.69806,0.42706,1.29759,0.81518,1.30701,0.00152947,0.00152947,0.00152947
27,583.256,1.2009,0.74949,1.14197,0.77239,0.61914,0.68299,0.40157,1.30359,0.87925,1.29514,0.00152397,0.00152397,0.00152397
28,604.685,1.2087,0.74149,1.13813,0.80027,0.64192,0.69527,0.41624,1.33095,0.88314,1.30393,0.00151847,0.00151847,0.00151847
29,626.262,1.17498,0.73603,1.13369,0.72743,0.68157,0.69808,0.41164,1.2873,0.90379,1.28884,0.00151297,0.00151297,0.00151297
30,647.655,1.17916,0.72313,1.13425,0.80774,0.65481,0.7059,0.41555,1.27983,0.81594,1.26251,0.00150747,0.00150747,0.00150747
31,669.173,1.18667,0.73397,1.13729,0.82262,0.66196,0.71918,0.42561,1.31323,0.88625,1.28661,0.00150197,0.00150197,0.00150197
32,690.544,1.16659,0.72001,1.12762,0.79073,0.63827,0.70935,0.40881,1.27677,0.8356,1.28175,0.00149647,0.00149647,0.00149647
33,710.09,1.1591,0.70375,1.12999,0.8451,0.66181,0.72668,0.41526,1.29579,0.82361,1.26129,0.00149096,0.00149096,0.00149096
34,731.367,1.16312,0.70298,1.11771,0.8194,0.65978,0.71773,0.41967,1.29865,0.9493,1.27,0.00148546,0.00148546,0.00148546
35,752.937,1.15509,0.69652,1.11591,0.78154,0.68571,0.73294,0.43196,1.28324,0.81936,1.29014,0.00147996,0.00147996,0.00147996
36,774.44,1.1505,0.69677,1.11177,0.74123,0.68539,0.71552,0.42301,1.26677,0.86651,1.26493,0.00147446,0.00147446,0.00147446
37,795.85,1.17997,0.7232,1.13402,0.82209,0.67088,0.73008,0.4295,1.26856,0.7793,1.26358,0.00146896,0.00146896,0.00146896
38,817.443,1.13367,0.6751,1.10704,0.76737,0.65187,0.71334,0.42755,1.26901,0.90406,1.2724,0.00146346,0.00146346,0.00146346
39,838.91,1.14757,0.69167,1.11063,0.84523,0.6872,0.75861,0.4407,1.2824,0.78017,1.28524,0.00145796,0.00145796,0.00145796
40,860.301,1.12799,0.68343,1.11152,0.80065,0.68987,0.75823,0.44524,1.25582,0.7844,1.28693,0.00145246,0.00145246,0.00145246
41,881.91,1.11362,0.66503,1.09809,0.8524,0.66897,0.7356,0.43281,1.27917,0.9524,1.25732,0.00144696,0.00144696,0.00144696
42,903.457,1.13097,0.67623,1.11014,0.81076,0.64243,0.71668,0.4322,1.25168,0.93113,1.23657,0.00144145,0.00144145,0.00144145
43,924.913,1.13276,0.67826,1.10478,0.78196,0.67327,0.72224,0.42621,1.27997,0.79459,1.30546,0.00143595,0.00143595,0.00143595
44,946.479,1.10719,0.65544,1.083,0.79748,0.67767,0.7377,0.4488,1.28022,0.77325,1.27739,0.00143045,0.00143045,0.00143045
45,968.02,1.1287,0.66693,1.1076,0.80493,0.70762,0.75637,0.4472,1.23741,0.74258,1.2458,0.00142495,0.00142495,0.00142495
46,989.536,1.12426,0.66039,1.09338,0.79893,0.70095,0.75014,0.44713,1.26646,0.77667,1.26853,0.00141945,0.00141945,0.00141945
47,1011.2,1.10999,0.64595,1.08712,0.82633,0.67813,0.72902,0.43046,1.28348,0.80054,1.29617,0.00141395,0.00141395,0.00141395
48,1032.74,1.10485,0.64599,1.10242,0.82454,0.70211,0.76413,0.45325,1.21345,0.77036,1.21941,0.00140845,0.00140845,0.00140845
49,1054.31,1.12238,0.65662,1.10072,0.82209,0.70708,0.77606,0.45859,1.20989,0.74303,1.23113,0.00140295,0.00140295,0.00140295
50,1075.75,1.08235,0.62862,1.07427,0.81988,0.68657,0.75864,0.44833,1.25583,0.78724,1.26479,0.00139745,0.00139745,0.00139745
51,1097.27,1.10465,0.64376,1.08947,0.83777,0.71165,0.78215,0.46275,1.24901,0.77791,1.25152,0.00139195,0.00139195,0.00139195
52,1118.79,1.11448,0.64954,1.09205,0.84315,0.70039,0.75831,0.45096,1.26872,0.77373,1.27718,0.00138644,0.00138644,0.00138644
53,1140.27,1.08232,0.6302,1.08152,0.77916,0.72642,0.7637,0.45703,1.2522,0.7828,1.27675,0.00138094,0.00138094,0.00138094
54,1161.68,1.09589,0.62893,1.06878,0.8453,0.68321,0.75162,0.44053,1.23313,0.77142,1.23799,0.00137544,0.00137544,0.00137544
55,1183.23,1.09024,0.63631,1.08827,0.82203,0.72687,0.78254,0.46509,1.23313,0.77693,1.2407,0.00136994,0.00136994,0.00136994
56,1204.59,1.11186,0.64441,1.09639,0.79521,0.74096,0.77986,0.47002,1.21777,0.74461,1.21359,0.00136444,0.00136444,0.00136444
57,1226.17,1.08097,0.62024,1.07424,0.83926,0.72667,0.77057,0.4633,1.21081,0.73847,1.22498,0.00135894,0.00135894,0.00135894
58,1247.63,1.07672,0.61335,1.062,0.8358,0.70682,0.77124,0.46446,1.20165,0.70481,1.21565,0.00135344,0.00135344,0.00135344
59,1269.31,1.08511,0.64008,1.09191,0.81625,0.72479,0.78072,0.46329,1.1873,0.74853,1.19772,0.00134794,0.00134794,0.00134794
60,1290.93,1.0694,0.62698,1.07144,0.81499,0.70444,0.75561,0.44714,1.25335,0.76276,1.27209,0.00134244,0.00134244,0.00134244
61,1312.44,1.07628,0.62518,1.07087,0.8394,0.73745,0.7858,0.47466,1.20748,0.71085,1.22972,0.00133693,0.00133693,0.00133693
62,1334.43,1.05853,0.61102,1.0714,0.80646,0.74804,0.78827,0.46666,1.20995,0.69912,1.21254,0.00133143,0.00133143,0.00133143
63,1355.88,1.07977,0.6211,1.06467,0.84408,0.72549,0.7774,0.46253,1.2101,0.72432,1.23494,0.00132593,0.00132593,0.00132593
64,1377.24,1.06578,0.61061,1.06915,0.8207,0.73836,0.78012,0.46847,1.21806,0.70264,1.23474,0.00132043,0.00132043,0.00132043
65,1398.74,1.04976,0.5964,1.06214,0.82542,0.74629,0.7836,0.46314,1.22105,0.71304,1.231,0.00131493,0.00131493,0.00131493
66,1420.33,1.05516,0.60997,1.05917,0.85375,0.7246,0.77773,0.46043,1.24503,0.74069,1.24201,0.00130943,0.00130943,0.00130943
67,1441.86,1.04613,0.59173,1.05876,0.81603,0.73866,0.77663,0.46177,1.2028,0.73315,1.22897,0.00130393,0.00130393,0.00130393
68,1463.37,1.04233,0.59675,1.05404,0.81848,0.73236,0.77162,0.45797,1.21064,0.7245,1.23006,0.00129843,0.00129843,0.00129843
69,1484.91,1.06631,0.60088,1.06585,0.85538,0.70713,0.77145,0.4684,1.2303,0.71174,1.25516,0.00129293,0.00129293,0.00129293
70,1506.34,1.03127,0.58504,1.04693,0.86331,0.72819,0.79434,0.48076,1.19592,0.70694,1.21596,0.00128742,0.00128742,0.00128742
71,1527.75,1.03317,0.59383,1.05084,0.85064,0.74718,0.79895,0.4762,1.17796,0.71927,1.20081,0.00128192,0.00128192,0.00128192
72,1549.28,1.02995,0.59446,1.0491,0.84202,0.73187,0.79449,0.4785,1.22916,0.70406,1.25174,0.00127642,0.00127642,0.00127642
73,1570.61,1.02536,0.57932,1.04134,0.8724,0.72225,0.79386,0.46612,1.17386,0.75077,1.20762,0.00127092,0.00127092,0.00127092
74,1591.94,1.03843,0.58276,1.05454,0.81943,0.73305,0.77788,0.46999,1.20612,0.68983,1.23159,0.00126542,0.00126542,0.00126542
75,1613.57,1.03862,0.58677,1.05969,0.82612,0.70875,0.77412,0.4567,1.23921,0.73271,1.25135,0.00125992,0.00125992,0.00125992
76,1634.99,1.04516,0.58934,1.05518,0.86035,0.75507,0.80023,0.48364,1.19524,0.70566,1.21122,0.00125442,0.00125442,0.00125442
77,1656.43,1.0379,0.57675,1.05507,0.85644,0.74678,0.80729,0.47901,1.16304,0.70867,1.18883,0.00124892,0.00124892,0.00124892
78,1677.85,1.03865,0.5855,1.05485,0.87449,0.73172,0.7957,0.47568,1.22405,0.70643,1.22322,0.00124342,0.00124342,0.00124342
79,1699.37,1.02556,0.58397,1.05447,0.82315,0.77513,0.80174,0.48652,1.19248,0.66138,1.22808,0.00123791,0.00123791,0.00123791
80,1720.95,1.02563,0.57855,1.04444,0.86617,0.74342,0.79151,0.47611,1.18723,0.67941,1.21991,0.00123241,0.00123241,0.00123241
81,1742.45,1.02524,0.57596,1.05319,0.86129,0.74804,0.80447,0.48179,1.22153,0.69778,1.21806,0.00122691,0.00122691,0.00122691
82,1764.12,1.04491,0.59339,1.06176,0.86097,0.74891,0.81059,0.49154,1.1692,0.67944,1.19581,0.00122141,0.00122141,0.00122141
83,1785.76,1.01725,0.57705,1.05192,0.88446,0.74604,0.8084,0.47502,1.18394,0.67421,1.20135,0.00121591,0.00121591,0.00121591
84,1807.18,1.02259,0.57215,1.04712,0.88221,0.75545,0.81264,0.48865,1.16954,0.69418,1.19326,0.00121041,0.00121041,0.00121041
85,1828.78,1.024,0.56824,1.04044,0.87,0.77507,0.82445,0.49897,1.19511,0.69417,1.22261,0.00120491,0.00120491,0.00120491
