epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8831,1.46661,1.80751,1.3437,0.58038,0.42702,0.45875,0.26572,1.51574,2.47534,1.49874,0.000547247,0.000547247,0.000547247
2,45.6184,1.45449,1.13927,1.33159,0.50504,0.38807,0.42008,0.25455,1.61324,2.38447,1.64556,0.00109563,0.00109563,0.00109563
3,65.8821,1.43267,1.10839,1.31197,0.78769,0.29749,0.31996,0.17116,1.95108,5.37954,1.91014,0.00163669,0.00163669,0.00163669
4,85.5756,1.46519,1.11006,1.3356,0.88051,0.35426,0.45889,0.24481,1.73264,2.81686,1.72502,0.00163399,0.00163399,0.00163399
5,105.122,1.39413,0.98291,1.27999,0.55278,0.428,0.44897,0.24482,1.68185,2.50212,1.55098,0.00162299,0.00162299,0.00162299
6,124.699,1.38248,0.98029,1.28834,0.68018,0.46275,0.49446,0.29278,1.57681,1.66648,1.54204,0.00161199,0.00161199,0.00161199
7,144.37,1.36687,0.94087,1.27217,0.6472,0.46473,0.49603,0.29187,1.54768,1.74926,1.47746,0.00160099,0.00160099,0.00160099
8,163.876,1.31714,0.90858,1.24186,0.82974,0.51549,0.59353,0.33469,1.43807,1.03449,1.36808,0.00158998,0.00158998,0.00158998
9,183.599,1.26864,0.85007,1.20953,0.81189,0.48016,0.56526,0.33583,1.4874,1.16327,1.40104,0.00157898,0.00157898,0.00157898
10,202.871,1.29401,0.86031,1.22341,0.67095,0.60592,0.62231,0.34964,1.42837,1.12306,1.35846,0.00156798,0.00156798,0.00156798
11,222.383,1.26102,0.83113,1.20417,0.75011,0.60307,0.64867,0.36213,1.45046,1.19996,1.39968,0.00155698,0.00155698,0.00155698
12,242.278,1.23192,0.80448,1.18208,0.76711,0.56769,0.63842,0.37841,1.41019,1.01457,1.34848,0.00154598,0.00154598,0.00154598
13,262.263,1.23673,0.79255,1.1794,0.73925,0.60542,0.66164,0.38634,1.37632,1.04681,1.33458,0.00153497,0.00153497,0.00153497
14,281.809,1.2046,0.76467,1.16876,0.80037,0.6087,0.6653,0.38827,1.42269,0.956,1.40996,0.00152397,0.00152397,0.00152397
15,301.761,1.20031,0.76664,1.15878,0.77847,0.63495,0.68572,0.3945,1.37303,0.97666,1.34242,0.00151297,0.00151297,0.00151297
16,321.517,1.19766,0.74355,1.16726,0.70958,0.67112,0.70503,0.39084,1.3907,1.00995,1.35025,0.00150197,0.00150197,0.00150197
17,341.516,1.1779,0.73308,1.15055,0.76389,0.63717,0.68413,0.4007,1.34485,0.89148,1.32407,0.00149096,0.00149096,0.00149096
18,361.068,1.16463,0.71414,1.1334,0.70115,0.65509,0.68428,0.40576,1.31288,0.92027,1.28533,0.00147996,0.00147996,0.00147996
19,380.958,1.15151,0.71878,1.13843,0.76098,0.64472,0.67879,0.39643,1.29766,0.87167,1.27412,0.00146896,0.00146896,0.00146896
20,400.678,1.15035,0.70099,1.1389,0.75418,0.67066,0.70814,0.42432,1.28593,0.83725,1.32011,0.00145796,0.00145796,0.00145796
21,420.289,1.13855,0.69746,1.13752,0.82371,0.67089,0.7382,0.42589,1.38566,0.79622,1.36425,0.00144696,0.00144696,0.00144696
22,440.077,1.1504,0.6965,1.14183,0.77467,0.68212,0.72443,0.43179,1.32559,0.83701,1.34147,0.00143595,0.00143595,0.00143595
23,460.085,1.14614,0.69371,1.13481,0.76541,0.67626,0.72006,0.42651,1.28224,0.85064,1.25816,0.00142495,0.00142495,0.00142495
24,479.827,1.11745,0.67747,1.11557,0.81464,0.67827,0.73022,0.43278,1.23493,0.81898,1.23594,0.00141395,0.00141395,0.00141395
25,499.646,1.10768,0.66827,1.10989,0.75119,0.66959,0.71742,0.42888,1.27228,0.84512,1.26104,0.00140295,0.00140295,0.00140295
26,519.26,1.11867,0.66239,1.1166,0.78792,0.70233,0.73887,0.43487,1.25946,0.79392,1.23828,0.00139195,0.00139195,0.00139195
27,539.143,1.09148,0.64457,1.10446,0.81196,0.70297,0.75829,0.44611,1.26295,0.76568,1.277,0.00138094,0.00138094,0.00138094
28,558.629,1.09207,0.6378,1.10154,0.78798,0.7032,0.73728,0.43659,1.26022,0.82208,1.2573,0.00136994,0.00136994,0.00136994
29,578.644,1.08074,0.63681,1.09739,0.82418,0.69766,0.74814,0.43613,1.28262,0.8025,1.26765,0.00135894,0.00135894,0.00135894
30,598.272,1.08301,0.63263,1.09977,0.79607,0.70266,0.74303,0.44758,1.23573,0.76224,1.2452,0.00134794,0.00134794,0.00134794
31,617.954,1.09123,0.64347,1.10191,0.81721,0.67235,0.72707,0.43271,1.27089,0.75665,1.25903,0.00133693,0.00133693,0.00133693
32,637.641,1.0617,0.61329,1.08384,0.81595,0.70788,0.76578,0.45884,1.22332,0.74586,1.24315,0.00132593,0.00132593,0.00132593
33,657.358,1.06006,0.63242,1.09584,0.84074,0.68668,0.74707,0.44126,1.26054,0.76687,1.28182,0.00131493,0.00131493,0.00131493
34,677.21,1.05649,0.60427,1.07929,0.83214,0.73,0.77896,0.45065,1.28696,0.79519,1.27808,0.00130393,0.00130393,0.00130393
35,697.812,1.07716,0.61449,1.09003,0.82318,0.72828,0.76587,0.45147,1.24508,0.75438,1.24845,0.00129293,0.00129293,0.00129293
36,718.335,1.04174,0.60119,1.07434,0.87562,0.71964,0.79266,0.4787,1.22605,0.71979,1.25456,0.00128192,0.00128192,0.00128192
37,737.795,1.02769,0.59157,1.06977,0.79518,0.74442,0.77485,0.46455,1.25841,0.73294,1.27073,0.00127092,0.00127092,0.00127092
38,757.492,1.04201,0.60125,1.07789,0.84848,0.71492,0.78399,0.47546,1.24698,0.71997,1.27102,0.00125992,0.00125992,0.00125992
39,776.817,1.03894,0.59568,1.07181,0.81442,0.69334,0.75237,0.45744,1.22551,0.72065,1.23285,0.00124892,0.00124892,0.00124892
40,796.557,1.01334,0.57171,1.05592,0.82278,0.74859,0.77055,0.46592,1.2308,0.73196,1.25386,0.00123791,0.00123791,0.00123791
41,815.93,1.03513,0.58508,1.07077,0.81992,0.71274,0.76497,0.45973,1.22238,0.73893,1.21612,0.00122691,0.00122691,0.00122691
42,835.485,1.01021,0.56391,1.05233,0.85995,0.75444,0.80302,0.47003,1.26558,0.7465,1.28758,0.00121591,0.00121591,0.00121591
43,854.872,1.01826,0.57328,1.06381,0.80979,0.74304,0.78306,0.46344,1.22465,0.7114,1.24522,0.00120491,0.00120491,0.00120491
44,874.163,0.99599,0.55499,1.05003,0.84099,0.72632,0.76924,0.46578,1.17137,0.73301,1.20565,0.00119391,0.00119391,0.00119391
45,892.909,0.98644,0.55192,1.04037,0.84502,0.74554,0.7937,0.47009,1.22179,0.69361,1.22827,0.0011829,0.0011829,0.0011829
46,911.695,0.98787,0.54931,1.04854,0.87455,0.72327,0.79918,0.47152,1.26207,0.69437,1.29687,0.0011719,0.0011719,0.0011719
47,931.402,0.99115,0.55745,1.04585,0.84874,0.75307,0.80805,0.47669,1.21418,0.71028,1.23478,0.0011609,0.0011609,0.0011609
48,950.781,0.99892,0.55824,1.04741,0.89147,0.73137,0.81408,0.47899,1.22204,0.69928,1.24901,0.0011499,0.0011499,0.0011499
49,970.753,0.99131,0.54666,1.05009,0.85018,0.74367,0.80227,0.48089,1.2365,0.63994,1.26744,0.00113889,0.00113889,0.00113889
50,989.724,0.98896,0.54503,1.04521,0.79083,0.77005,0.77603,0.46461,1.20596,0.77777,1.24725,0.00112789,0.00112789,0.00112789
51,1008.67,0.98226,0.55836,1.04918,0.86006,0.74276,0.79199,0.47229,1.22024,0.6787,1.23902,0.00111689,0.00111689,0.00111689
52,1027.64,0.97758,0.54259,1.03735,0.82355,0.75249,0.79592,0.47541,1.20321,0.65267,1.22129,0.00110589,0.00110589,0.00110589
53,1046.7,0.97202,0.5396,1.03637,0.85384,0.77748,0.80433,0.48373,1.22469,0.70361,1.24177,0.00109489,0.00109489,0.00109489
54,1065.55,0.97279,0.53641,1.0434,0.85836,0.76522,0.81121,0.48181,1.20492,0.66581,1.2262,0.00108388,0.00108388,0.00108388
55,1084.38,0.95678,0.52251,1.02683,0.85788,0.72858,0.78476,0.47201,1.19995,0.65676,1.22166,0.00107288,0.00107288,0.00107288
56,1103.28,0.96653,0.5323,1.04023,0.83556,0.73931,0.78616,0.47966,1.21677,0.64382,1.23541,0.00106188,0.00106188,0.00106188
57,1122.19,0.94511,0.52262,1.02712,0.87264,0.76366,0.81711,0.48956,1.20568,0.65412,1.22733,0.00105088,0.00105088,0.00105088
58,1141.23,0.94884,0.51545,1.02088,0.82909,0.77366,0.80684,0.49337,1.18636,0.63687,1.23822,0.00103987,0.00103987,0.00103987
59,1160.12,0.94541,0.51329,1.02114,0.8533,0.76076,0.80882,0.49327,1.16791,0.63707,1.2018,0.00102887,0.00102887,0.00102887
60,1179.02,0.9367,0.50606,1.01481,0.89009,0.76725,0.81617,0.50011,1.20415,0.64395,1.23602,0.00101787,0.00101787,0.00101787
61,1197.86,0.93616,0.5076,1.01841,0.8299,0.77496,0.80602,0.48198,1.20128,0.61578,1.23628,0.00100687,0.00100687,0.00100687
62,1216.62,0.93555,0.50629,1.0153,0.83756,0.77322,0.80552,0.48454,1.1883,0.63561,1.21982,0.000995866,0.000995866,0.000995866
63,1235.38,0.93665,0.5043,1.01935,0.88033,0.73896,0.80969,0.50279,1.16966,0.62426,1.213,0.000984864,0.000984864,0.000984864
64,1254.21,0.92164,0.49293,1.01369,0.86507,0.7867,0.81677,0.50149,1.16527,0.61218,1.19747,0.000973861,0.000973861,0.000973861
65,1273.08,0.93335,0.50468,1.0182,0.8247,0.79093,0.8252,0.49645,1.15664,0.66975,1.18582,0.000962859,0.000962859,0.000962859
66,1292.1,0.92635,0.49674,1.02129,0.89144,0.76339,0.82376,0.50458,1.17013,0.64854,1.19896,0.000951857,0.000951857,0.000951857
67,1311.09,0.90302,0.4894,1.00048,0.85827,0.81168,0.84345,0.50856,1.14231,0.62273,1.16459,0.000940855,0.000940855,0.000940855
68,1330.03,0.91265,0.49491,1.00786,0.8261,0.78998,0.8147,0.49059,1.18908,0.63525,1.22362,0.000929853,0.000929853,0.000929853
69,1348.94,0.90183,0.48809,0.99792,0.88771,0.77167,0.8263,0.5025,1.17022,0.63271,1.1981,0.00091885,0.00091885,0.00091885
70,1367.79,0.89362,0.48076,1.00316,0.87805,0.77579,0.82788,0.50684,1.18003,0.63096,1.20574,0.000907848,0.000907848,0.000907848
71,1386.66,0.90619,0.4855,1.00841,0.86126,0.78529,0.8275,0.50274,1.19304,0.63191,1.22964,0.000896846,0.000896846,0.000896846
72,1406.48,0.9054,0.48514,1.00226,0.90875,0.76287,0.82598,0.50546,1.21645,0.62435,1.27276,0.000885844,0.000885844,0.000885844
73,1425.9,0.89758,0.47543,0.99944,0.90532,0.78932,0.8451,0.50798,1.20037,0.61932,1.22875,0.000874842,0.000874842,0.000874842
74,1445.11,0.89682,0.47288,0.99055,0.87324,0.78004,0.82932,0.49331,1.21045,0.61442,1.23619,0.000863839,0.000863839,0.000863839
75,1465.01,0.86722,0.46525,0.98588,0.90869,0.78296,0.84806,0.50899,1.20658,0.63681,1.2363,0.000852837,0.000852837,0.000852837
76,1484.46,0.88984,0.47041,0.99063,0.87272,0.79357,0.83268,0.50694,1.19071,0.62803,1.24287,0.000841835,0.000841835,0.000841835
77,1503.86,0.87529,0.46247,0.98669,0.884,0.7758,0.81887,0.50493,1.15837,0.63264,1.20034,0.000830833,0.000830833,0.000830833
78,1524.32,0.87607,0.47058,0.99843,0.8897,0.79819,0.83282,0.51383,1.16498,0.62131,1.22526,0.000819831,0.000819831,0.000819831
79,1543.56,0.88461,0.47415,0.99155,0.86985,0.79873,0.83939,0.50855,1.14823,0.60054,1.19811,0.000808828,0.000808828,0.000808828
80,1562.73,0.87675,0.46472,0.99822,0.86715,0.80615,0.83491,0.50968,1.20892,0.60571,1.2349,0.000797826,0.000797826,0.000797826
81,1582.03,0.86444,0.45857,0.98843,0.85552,0.81419,0.83544,0.52157,1.16275,0.60003,1.19252,0.000786824,0.000786824,0.000786824
82,1601.35,0.86263,0.45762,0.98495,0.90383,0.79647,0.8433,0.51204,1.1731,0.63185,1.21475,0.000775822,0.000775822,0.000775822
83,1620.65,0.86841,0.4564,0.9825,0.88859,0.80217,0.84772,0.5064,1.21029,0.65541,1.26507,0.00076482,0.00076482,0.00076482
84,1640.04,0.86667,0.46053,0.98781,0.88149,0.82097,0.8617,0.52119,1.16201,0.58452,1.21177,0.000753817,0.000753817,0.000753817
85,1659.28,0.85658,0.45033,0.98377,0.88436,0.81476,0.86159,0.52277,1.14829,0.60444,1.19714,0.000742815,0.000742815,0.000742815
86,1678.57,0.84779,0.44826,0.98539,0.86817,0.82427,0.84736,0.51467,1.13963,0.5625,1.20212,0.000731813,0.000731813,0.000731813
87,1698.21,0.86071,0.44869,0.98233,0.86931,0.8106,0.84558,0.512,1.13539,0.60174,1.19625,0.000720811,0.000720811,0.000720811
88,1717.51,0.85154,0.4442,0.9783,0.85686,0.81579,0.8575,0.52411,1.17176,0.57623,1.21917,0.000709809,0.000709809,0.000709809
89,1736.91,0.84443,0.4403,0.97072,0.89116,0.79597,0.84966,0.52097,1.16826,0.56771,1.23656,0.000698806,0.000698806,0.000698806
90,1756.21,0.84978,0.4479,0.981,0.88729,0.81349,0.85405,0.51533,1.1589,0.56635,1.19296,0.000687804,0.000687804,0.000687804
91,1775.22,0.83796,0.44196,0.97016,0.88997,0.7857,0.84769,0.51593,1.19682,0.59727,1.24573,0.000676802,0.000676802,0.000676802
92,1794.1,0.82982,0.43202,0.97603,0.89199,0.80864,0.85314,0.52358,1.15567,0.59921,1.21803,0.0006658,0.0006658,0.0006658
93,1813.06,0.83525,0.43639,0.97835,0.87816,0.81778,0.85495,0.52099,1.14942,0.58446,1.17843,0.000654798,0.000654798,0.000654798
94,1832.13,0.82224,0.43472,0.97117,0.88538,0.79756,0.84431,0.5188,1.14962,0.56435,1.20381,0.000643795,0.000643795,0.000643795
95,1851.14,0.82763,0.43085,0.97215,0.87729,0.81443,0.84689,0.52757,1.13274,0.57095,1.1984,0.000632793,0.000632793,0.000632793
96,1870.1,0.8299,0.43039,0.97284,0.92094,0.78772,0.85584,0.53226,1.12969,0.57504,1.18652,0.000621791,0.000621791,0.000621791
97,1888.88,0.82092,0.42637,0.97055,0.88072,0.79873,0.84305,0.51288,1.14755,0.59897,1.20194,0.000610789,0.000610789,0.000610789
98,1907.91,0.818,0.42387,0.97128,0.91917,0.80373,0.86689,0.52776,1.13704,0.55848,1.18863,0.000599787,0.000599787,0.000599787
99,1926.82,0.82087,0.42591,0.9669,0.90496,0.8149,0.86301,0.52322,1.13029,0.56392,1.21176,0.000588784,0.000588784,0.000588784
100,1945.74,0.81843,0.42644,0.97078,0.85351,0.82849,0.84736,0.52037,1.14419,0.58219,1.20064,0.000577782,0.000577782,0.000577782
101,1964.74,0.81071,0.42294,0.96639,0.88574,0.82068,0.85424,0.52312,1.13459,0.58349,1.21356,0.00056678,0.00056678,0.00056678
102,1983.63,0.81368,0.42551,0.96017,0.91046,0.81037,0.854,0.52702,1.1454,0.55018,1.21091,0.000555778,0.000555778,0.000555778
