epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1786,1.47454,1.84148,1.3523,0.63117,0.46402,0.4923,0.26386,1.5818,1.55875,1.55238,0.000547247,0.000547247,0.000547247
2,43.0885,1.44407,1.11287,1.30087,0.33915,0.26915,0.31897,0.17108,1.92315,2.98226,1.9634,0.00109563,0.00109563,0.00109563
3,62.3846,1.49353,1.12549,1.34308,0.27566,0.30713,0.17246,0.06369,2.3839,5.41953,2.3701,0.00163669,0.00163669,0.00163669
4,81.4029,1.50109,1.13842,1.36152,0.87943,0.35175,0.44424,0.25887,1.76959,3.027,1.69269,0.00163399,0.00163399,0.00163399
5,100.623,1.42186,1.03615,1.30732,0.6713,0.50335,0.53699,0.3163,1.53443,1.56946,1.53951,0.00162299,0.00162299,0.00162299
6,119.704,1.36241,0.96824,1.27061,0.73935,0.48113,0.53922,0.30618,1.60016,1.53464,1.54477,0.00161199,0.00161199,0.00161199
7,138.722,1.33776,0.93117,1.2492,0.63651,0.53461,0.56968,0.33364,1.44823,1.15371,1.42738,0.00160099,0.00160099,0.00160099
8,157.694,1.32938,0.90649,1.24664,0.57336,0.51351,0.53137,0.30956,1.60232,1.27306,1.59401,0.00158998,0.00158998,0.00158998
9,176.79,1.29311,0.85159,1.21679,0.71132,0.52189,0.56682,0.32216,1.52801,1.17608,1.50181,0.00157898,0.00157898,0.00157898
10,195.881,1.29291,0.85584,1.22224,0.66319,0.59227,0.63582,0.37888,1.3938,1.06379,1.38467,0.00156798,0.00156798,0.00156798
11,214.983,1.25521,0.83743,1.20174,0.64226,0.55034,0.60409,0.35774,1.44036,1.10272,1.40977,0.00155698,0.00155698,0.00155698
12,233.929,1.24133,0.80592,1.1829,0.64589,0.54291,0.57727,0.34838,1.42917,1.1733,1.39266,0.00154598,0.00154598,0.00154598
13,253.091,1.23028,0.7881,1.17321,0.68758,0.64249,0.65928,0.36728,1.43754,0.98835,1.40901,0.00153497,0.00153497,0.00153497
14,272.136,1.21026,0.7609,1.16066,0.69103,0.61457,0.66928,0.39877,1.40218,1.00984,1.38608,0.00152397,0.00152397,0.00152397
15,291.153,1.22618,0.7688,1.17563,0.7031,0.61789,0.67264,0.39601,1.41795,1.0138,1.40693,0.00151297,0.00151297,0.00151297
16,310.207,1.18863,0.7442,1.16058,0.7836,0.63143,0.70212,0.40587,1.3363,0.93239,1.35455,0.00150197,0.00150197,0.00150197
