epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6627,1.5224,1.80362,1.33207,0.60194,0.4374,0.47687,0.26245,1.6479,1.86487,1.65555,0.000550375,0.000550375,0.000550375
2,47.9489,1.56855,1.23716,1.38331,0.39561,0.36053,0.36116,0.18745,1.834,2.15527,1.70712,0.00110239,0.00110239,0.00110239
3,69.5651,1.60356,1.28068,1.4133,0.7441,0.34265,0.27869,0.14358,1.76734,2.73379,1.78733,0.00165074,0.00165074,0.00165074
4,91.0254,1.56942,1.20529,1.37256,0.63615,0.43895,0.47828,0.26665,1.68876,1.87477,1.62706,0.0016505,0.0016505,0.0016505
5,112.404,1.55638,1.17872,1.36152,0.79531,0.47068,0.51369,0.28443,1.61507,1.55413,1.52165,0.001645,0.001645,0.001645
6,133.532,1.51562,1.14915,1.34727,0.64786,0.4565,0.48182,0.29482,1.49204,1.44832,1.49242,0.00163949,0.00163949,0.00163949
7,155.052,1.4643,1.04658,1.31027,0.77191,0.45707,0.51434,0.30273,1.51866,1.2722,1.49312,0.00163399,0.00163399,0.00163399
8,176.077,1.44423,1.03821,1.30212,0.77281,0.49933,0.54591,0.33283,1.46182,1.15281,1.45394,0.00162849,0.00162849,0.00162849
9,197.149,1.4244,1.01392,1.30568,0.72697,0.47688,0.55351,0.32854,1.48286,1.22364,1.48063,0.00162299,0.00162299,0.00162299
10,218.247,1.41916,0.9844,1.29656,0.73411,0.5069,0.57182,0.35235,1.43721,1.08939,1.42949,0.00161749,0.00161749,0.00161749
11,239.5,1.37446,0.95239,1.26205,0.65999,0.50668,0.53182,0.32791,1.43812,1.3024,1.44387,0.00161199,0.00161199,0.00161199
12,260.472,1.36315,0.94081,1.25654,0.80383,0.52013,0.59512,0.35916,1.3618,1.03911,1.39171,0.00160649,0.00160649,0.00160649
13,281.611,1.38136,0.92511,1.26361,0.73548,0.55955,0.58981,0.34712,1.43165,1.09938,1.43487,0.00160099,0.00160099,0.00160099
14,302.517,1.327,0.89864,1.23459,0.8064,0.52587,0.59245,0.36304,1.37445,1.00069,1.39786,0.00159549,0.00159549,0.00159549
15,323.488,1.34912,0.9026,1.24944,0.69591,0.57944,0.63436,0.37592,1.42344,1.05599,1.3763,0.00158998,0.00158998,0.00158998
