epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2342,1.5432,1.85695,1.33643,0.88269,0.38427,0.47813,0.27986,1.60441,1.56058,1.61207,0.000547247,0.000547247,0.000547247
2,47.0952,1.54489,1.21743,1.33551,0.44222,0.3773,0.38635,0.21345,1.79393,3.44599,1.99213,0.00109927,0.00109927,0.00109927
3,68.57,1.56428,1.21902,1.35865,0.92174,0.32544,0.37589,0.22008,1.78128,2.83054,1.93633,0.00164763,0.00164763,0.00164763
4,90.0921,1.564,1.18668,1.36413,0.76063,0.38253,0.42069,0.21707,1.90093,3.87999,1.86344,0.0016505,0.0016505,0.0016505
5,111.65,1.49526,1.10135,1.31612,0.86574,0.38228,0.48517,0.28157,1.69549,2.57473,1.7042,0.001645,0.001645,0.001645
6,132.978,1.49286,1.07113,1.31708,0.65929,0.48849,0.49843,0.27559,1.72552,1.64285,1.7163,0.00163949,0.00163949,0.00163949
7,152.748,1.44395,1.02174,1.29809,0.77067,0.47615,0.52674,0.30537,1.61204,1.47388,1.58889,0.00163399,0.00163399,0.00163399
8,172.358,1.43529,1.01197,1.27151,0.83376,0.51248,0.58904,0.33975,1.56766,1.38082,1.51462,0.00162849,0.00162849,0.00162849
9,192.054,1.37808,0.94188,1.24863,0.79695,0.50892,0.58234,0.3449,1.517,1.33932,1.4889,0.00162299,0.00162299,0.00162299
10,211.808,1.3951,0.97424,1.2735,0.67,0.52706,0.56478,0.30803,1.53336,1.40469,1.49987,0.00161749,0.00161749,0.00161749
11,231.314,1.37315,0.94898,1.24936,0.70083,0.50116,0.53895,0.318,1.51476,1.32419,1.52769,0.00161199,0.00161199,0.00161199
12,250.874,1.34575,0.89992,1.2279,0.76226,0.52453,0.58374,0.33952,1.57192,1.19896,1.54649,0.00160649,0.00160649,0.00160649
