epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6695,1.54935,1.89446,1.33925,0.67727,0.36152,0.43781,0.24292,1.69502,1.88594,1.70335,0.000547247,0.000547247,0.000547247
2,46.8821,1.5303,1.21324,1.33963,0.38576,0.33135,0.35879,0.20444,1.84996,3.34981,1.86079,0.00109927,0.00109927,0.00109927
3,68.3161,1.5734,1.24398,1.37619,0.90136,0.34919,0.41935,0.21309,1.90058,3.82241,1.90605,0.00164763,0.00164763,0.00164763
4,89.4949,1.56402,1.19405,1.36181,0.79237,0.38278,0.42907,0.22297,1.88172,2.32045,1.73032,0.0016505,0.0016505,0.0016505
5,110.708,1.49048,1.1024,1.31592,0.64135,0.47422,0.50917,0.27856,1.69191,1.41395,1.61146,0.001645,0.001645,0.001645
6,131.94,1.47619,1.10813,1.31817,0.81027,0.48674,0.55302,0.31453,1.61382,1.27682,1.5477,0.00163949,0.00163949,0.00163949
7,153.163,1.44962,1.04461,1.31121,0.76645,0.50219,0.53957,0.30501,1.6205,1.53551,1.55299,0.00163399,0.00163399,0.00163399
8,174.461,1.41747,0.99084,1.28308,0.76876,0.51183,0.56006,0.31672,1.5434,1.29411,1.50515,0.00162849,0.00162849,0.00162849
9,195.861,1.38604,0.9878,1.26612,0.77273,0.52987,0.58046,0.31154,1.54789,1.55036,1.46394,0.00162299,0.00162299,0.00162299
10,216.59,1.3837,0.97931,1.26987,0.62259,0.54233,0.55361,0.32677,1.4882,1.20143,1.46121,0.00161749,0.00161749,0.00161749
11,241.121,1.39514,0.96792,1.27366,0.66964,0.57925,0.6077,0.35565,1.43866,1.06421,1.42729,0.00161199,0.00161199,0.00161199
12,266.255,1.34355,0.9153,1.24508,0.77834,0.56112,0.63361,0.36547,1.48607,1.10562,1.45122,0.00160649,0.00160649,0.00160649
13,291.06,1.31644,0.88267,1.21471,0.77423,0.57359,0.61919,0.34905,1.48538,1.12388,1.42839,0.00160099,0.00160099,0.00160099
14,315.801,1.3046,0.88303,1.22715,0.75084,0.59107,0.63945,0.36424,1.4324,0.98251,1.42222,0.00159549,0.00159549,0.00159549
15,341.916,1.31605,0.88365,1.23618,0.78845,0.59157,0.64534,0.37344,1.39072,1.00298,1.36939,0.00158998,0.00158998,0.00158998
16,367.938,1.31935,0.88569,1.23489,0.74662,0.59695,0.65032,0.37728,1.41016,1.03316,1.39583,0.00158448,0.00158448,0.00158448
17,394.068,1.3119,0.87053,1.22186,0.76758,0.57654,0.63699,0.36548,1.45363,1.04215,1.43417,0.00157898,0.00157898,0.00157898
18,421.636,1.26646,0.81285,1.18314,0.82509,0.62053,0.66781,0.39264,1.35804,1.00023,1.35374,0.00157348,0.00157348,0.00157348
19,446.444,1.24978,0.80904,1.1872,0.71061,0.60431,0.62289,0.36821,1.41513,1.08308,1.37546,0.00156798,0.00156798,0.00156798
20,470.859,1.2796,0.83842,1.20577,0.75682,0.63276,0.68645,0.40568,1.3212,0.95209,1.31346,0.00156248,0.00156248,0.00156248
21,494.125,1.24605,0.79883,1.17407,0.78561,0.6082,0.65922,0.39839,1.29238,0.9643,1.307,0.00155698,0.00155698,0.00155698
22,517.064,1.22697,0.7825,1.17243,0.74577,0.64934,0.69339,0.40206,1.37671,0.8903,1.35241,0.00155148,0.00155148,0.00155148
