epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,815.501,1.01702,0.57069,1.05708,0.86887,0.71199,0.77887,0.46352,1.26878,0.8114,1.2952,0.00121591,0.00121591,0.00121591
43,834.68,1.00489,0.5593,1.05445,0.85781,0.78341,0.82408,0.49812,1.19633,0.74118,1.24793,0.00120491,0.00120491,0.00120491
44,853.879,0.98938,0.54271,1.04388,0.89392,0.76325,0.82269,0.49746,1.22491,0.76036,1.27743,0.00119391,0.00119391,0.00119391
45,872.948,1.02143,0.56955,1.06858,0.84325,0.7494,0.7953,0.48123,1.23393,0.8047,1.27722,0.0011829,0.0011829,0.0011829
46,891.847,0.9943,0.54966,1.04769,0.8956,0.76943,0.82645,0.49743,1.19182,0.7368,1.26289,0.0011719,0.0011719,0.0011719
47,910.99,0.98763,0.54363,1.04587,0.88393,0.72521,0.80471,0.49733,1.21869,0.7821,1.26952,0.0011609,0.0011609,0.0011609
48,929.925,0.99923,0.54461,1.04331,0.89497,0.74781,0.81065,0.49218,1.19506,0.78382,1.24847,0.0011499,0.0011499,0.0011499
49,949.072,0.98278,0.54113,1.04526,0.858,0.76178,0.80235,0.49237,1.18975,0.72286,1.2408,0.00113889,0.00113889,0.00113889
50,968.184,0.9958,0.55197,1.04891,0.88436,0.74881,0.81396,0.49227,1.20568,0.7126,1.26914,0.00112789,0.00112789,0.00112789
51,987.202,0.98689,0.54757,1.04129,0.8682,0.77346,0.82295,0.50675,1.2083,0.77475,1.28035,0.00111689,0.00111689,0.00111689
52,1006.24,0.98622,0.54483,1.04233,0.87533,0.77764,0.82354,0.50333,1.23515,0.75408,1.3082,0.00110589,0.00110589,0.00110589
53,1025.21,0.97413,0.53489,1.03823,0.87618,0.76541,0.83014,0.50864,1.20999,0.71862,1.26146,0.00109489,0.00109489,0.00109489
54,1044.3,0.97291,0.53458,1.03499,0.88727,0.77432,0.82128,0.51068,1.19135,0.70831,1.25244,0.00108388,0.00108388,0.00108388
55,1063.31,0.95754,0.51968,1.02709,0.89485,0.79553,0.85062,0.51024,1.19678,0.70238,1.2481,0.00107288,0.00107288,0.00107288
56,1082.39,0.94814,0.51759,1.02934,0.90159,0.76015,0.83478,0.51283,1.19759,0.72807,1.25618,0.00106188,0.00106188,0.00106188
57,1101.51,0.95694,0.52507,1.0325,0.89813,0.76871,0.84008,0.51063,1.20523,0.72098,1.2697,0.00105088,0.00105088,0.00105088
58,1120.65,0.95956,0.51893,1.02876,0.92435,0.76635,0.84129,0.52198,1.19688,0.71735,1.25894,0.00103987,0.00103987,0.00103987
59,1139.87,0.95947,0.52213,1.0303,0.91104,0.76629,0.83639,0.51025,1.21968,0.74313,1.2862,0.00102887,0.00102887,0.00102887
60,1158.95,0.94061,0.51065,1.02012,0.84764,0.75389,0.81488,0.51543,1.22295,0.69434,1.28705,0.00101787,0.00101787,0.00101787
61,1178.36,0.94781,0.50911,1.01538,0.80691,0.76221,0.79458,0.49987,1.1934,0.77621,1.26783,0.00100687,0.00100687,0.00100687
62,1197.4,0.93356,0.50467,1.01922,0.91477,0.76548,0.8324,0.50402,1.20562,0.7507,1.27698,0.000995866,0.000995866,0.000995866
63,1216.56,0.94167,0.50446,1.02276,0.90137,0.77216,0.82887,0.51327,1.21222,0.77756,1.27437,0.000984864,0.000984864,0.000984864
64,1235.51,0.92548,0.5001,1.0174,0.90472,0.79063,0.84937,0.51324,1.234,0.75678,1.29851,0.000973861,0.000973861,0.000973861
65,1254.63,0.94205,0.50869,1.02702,0.91114,0.77673,0.85574,0.51476,1.23758,0.7464,1.28192,0.000962859,0.000962859,0.000962859
66,1273.63,0.93247,0.49348,1.0229,0.88866,0.80681,0.84728,0.5138,1.20552,0.69982,1.25556,0.000951857,0.000951857,0.000951857
67,1292.75,0.92268,0.487,1.00662,0.87183,0.7987,0.82752,0.5086,1.20692,0.69377,1.24711,0.000940855,0.000940855,0.000940855
68,1311.72,0.92907,0.50107,1.01376,0.89061,0.76485,0.83116,0.51398,1.18108,0.76057,1.25832,0.000929853,0.000929853,0.000929853
69,1330.8,0.9147,0.48324,1.00483,0.86245,0.80475,0.83954,0.51353,1.20645,0.66955,1.26152,0.00091885,0.00091885,0.00091885
70,1349.88,0.91061,0.48457,1.00622,0.90966,0.8045,0.85657,0.51268,1.21482,0.67844,1.26921,0.000907848,0.000907848,0.000907848
71,1369.03,0.912,0.48643,1.01227,0.89255,0.80091,0.85201,0.51764,1.20044,0.69817,1.2637,0.000896846,0.000896846,0.000896846
72,1388.1,0.9026,0.47857,0.99894,0.90436,0.79142,0.84363,0.51856,1.19349,0.73682,1.24786,0.000885844,0.000885844,0.000885844
73,1407.3,0.90939,0.47711,1.0062,0.9134,0.79185,0.85737,0.52416,1.17315,0.66887,1.25182,0.000874842,0.000874842,0.000874842
74,1426.64,0.89708,0.48081,0.99899,0.90458,0.79074,0.85092,0.52756,1.16402,0.70332,1.2471,0.000863839,0.000863839,0.000863839
75,1445.76,0.88616,0.46993,0.99123,0.90326,0.80152,0.85807,0.52939,1.19029,0.6705,1.24735,0.000852837,0.000852837,0.000852837
76,1464.86,0.88094,0.46137,0.99129,0.871,0.79731,0.84895,0.52486,1.19629,0.66398,1.26121,0.000841835,0.000841835,0.000841835
77,1483.89,0.89152,0.47029,0.9995,0.9049,0.79686,0.85478,0.52636,1.16538,0.70383,1.22482,0.000830833,0.000830833,0.000830833
78,1503.03,0.89426,0.46743,0.99803,0.88816,0.79586,0.83475,0.52333,1.1871,0.69408,1.24375,0.000819831,0.000819831,0.000819831
79,1522.17,0.88388,0.46998,0.99722,0.87716,0.81695,0.85486,0.52882,1.17924,0.63495,1.23679,0.000808828,0.000808828,0.000808828
80,1541.39,0.87853,0.46241,0.9968,0.86724,0.78761,0.84051,0.51297,1.18017,0.64832,1.25055,0.000797826,0.000797826,0.000797826
81,1560.53,0.88119,0.45822,0.98834,0.90399,0.8071,0.85782,0.52787,1.17376,0.68276,1.2423,0.000786824,0.000786824,0.000786824
82,1579.65,0.87178,0.45746,0.98951,0.89246,0.79981,0.85784,0.53596,1.14825,0.67231,1.22175,0.000775822,0.000775822,0.000775822
83,1598.7,0.88608,0.46782,0.98835,0.89353,0.81045,0.8643,0.53445,1.16384,0.65292,1.2376,0.00076482,0.00076482,0.00076482
84,1617.75,0.86453,0.45247,0.98568,0.89615,0.79294,0.84804,0.52961,1.16503,0.63626,1.23527,0.000753817,0.000753817,0.000753817
85,1636.99,0.87158,0.44951,0.97998,0.87724,0.79964,0.85585,0.52437,1.16269,0.65178,1.23014,0.000742815,0.000742815,0.000742815
86,1656.21,0.86418,0.44827,0.9854,0.91059,0.81645,0.86668,0.53192,1.19595,0.68428,1.27576,0.000731813,0.000731813,0.000731813
87,1675.3,0.8527,0.4429,0.98142,0.88717,0.78891,0.83932,0.53235,1.17876,0.69953,1.24223,0.000720811,0.000720811,0.000720811
88,1694.42,0.85002,0.44685,0.98308,0.89414,0.836,0.87353,0.54295,1.18421,0.6783,1.2641,0.000709809,0.000709809,0.000709809
