epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5939,1.46147,1.80501,1.32811,0.52374,0.5112,0.51983,0.30177,1.57515,1.37724,1.70394,0.000547247,0.000547247,0.000547247
2,43.9148,1.42739,1.08856,1.28283,0.86564,0.28744,0.36067,0.19192,1.9651,2.87175,1.93459,0.00109563,0.00109563,0.00109563
3,63.6022,1.4509,1.08824,1.29303,0.64994,0.35253,0.35772,0.1827,1.98144,8.87071,2.04719,0.00163669,0.00163669,0.00163669
4,83.3827,1.45304,1.0792,1.3038,0.7379,0.41708,0.4742,0.27687,1.71085,2.8968,1.74336,0.00163399,0.00163399,0.00163399
5,103.408,1.39018,0.98846,1.26579,0.56801,0.49619,0.48448,0.28702,1.60587,2.05236,1.61268,0.00162299,0.00162299,0.00162299
6,123.053,1.36992,0.97068,1.26314,0.67055,0.51467,0.56171,0.30783,1.66224,1.5992,1.54577,0.00161199,0.00161199,0.00161199
7,142.923,1.33748,0.90664,1.22636,0.69689,0.50865,0.52689,0.27898,1.69821,2.32734,1.63721,0.00160099,0.00160099,0.00160099
8,162.759,1.3091,0.89794,1.22187,0.78855,0.54408,0.60206,0.32526,1.57774,1.49657,1.52656,0.00158998,0.00158998,0.00158998
9,182.485,1.28033,0.8324,1.20086,0.70803,0.56622,0.59941,0.35148,1.58731,1.23522,1.56471,0.00157898,0.00157898,0.00157898
10,202.056,1.28317,0.84232,1.20463,0.71669,0.5638,0.61054,0.34704,1.48323,1.25415,1.48189,0.00156798,0.00156798,0.00156798
11,221.698,1.24174,0.80493,1.18013,0.66948,0.51005,0.56252,0.30574,1.62664,1.45957,1.49164,0.00155698,0.00155698,0.00155698
12,241.37,1.23418,0.78767,1.17337,0.80753,0.57484,0.62855,0.35997,1.46594,1.25149,1.45191,0.00154598,0.00154598,0.00154598
13,261.215,1.22652,0.7924,1.16727,0.77252,0.632,0.68164,0.4021,1.45938,1.01989,1.42182,0.00153497,0.00153497,0.00153497
14,280.884,1.19233,0.75475,1.15176,0.80867,0.61174,0.67431,0.38328,1.48462,1.12135,1.42527,0.00152397,0.00152397,0.00152397
15,300.737,1.18719,0.74462,1.1477,0.81614,0.61239,0.68396,0.39266,1.47522,1.08448,1.4344,0.00151297,0.00151297,0.00151297
