epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1022,1.46564,1.83928,1.34027,0.74743,0.44723,0.53174,0.29616,1.61786,1.79352,1.68249,0.000547247,0.000547247,0.000547247
2,49.7069,1.41338,1.1309,1.29588,0.87169,0.33676,0.40119,0.21402,1.89914,2.10108,1.88938,0.00109563,0.00109563,0.00109563
3,69.6614,1.45205,1.11697,1.31279,0.57172,0.45959,0.42183,0.22559,1.83411,3.84324,1.97203,0.00163669,0.00163669,0.00163669
4,89.4595,1.47091,1.10469,1.33393,0.57543,0.4176,0.44515,0.25239,1.71738,1.80308,1.72168,0.00163399,0.00163399,0.00163399
5,109.948,1.39244,1.02601,1.28139,0.56041,0.52325,0.53687,0.30495,1.51933,1.77145,1.50016,0.00162299,0.00162299,0.00162299
6,130.289,1.34757,0.94914,1.25082,0.66839,0.51536,0.52876,0.30654,1.55373,1.73305,1.50188,0.00161199,0.00161199,0.00161199
7,150.673,1.34575,0.93788,1.25045,0.74781,0.55546,0.60316,0.35085,1.42851,1.24037,1.40276,0.00160099,0.00160099,0.00160099
8,170.848,1.32376,0.90327,1.24125,0.80002,0.52316,0.5833,0.34298,1.46468,1.67416,1.4154,0.00158998,0.00158998,0.00158998
9,190.82,1.28788,0.86438,1.21483,0.6908,0.53857,0.55418,0.32962,1.46077,1.20081,1.39646,0.00157898,0.00157898,0.00157898
10,210.531,1.29754,0.87316,1.23618,0.70838,0.57301,0.61385,0.36484,1.41512,1.06464,1.39101,0.00156798,0.00156798,0.00156798
11,230.311,1.2512,0.82396,1.19241,0.68784,0.62302,0.64969,0.38387,1.37562,1.03268,1.37984,0.00155698,0.00155698,0.00155698
12,249.92,1.22901,0.8131,1.18171,0.6906,0.65092,0.67251,0.40151,1.37176,0.99973,1.34852,0.00154598,0.00154598,0.00154598
13,269.668,1.22644,0.79193,1.1707,0.80548,0.64335,0.68791,0.40559,1.33397,0.87918,1.31595,0.00153497,0.00153497,0.00153497
14,289.4,1.21227,0.77907,1.17344,0.80041,0.63098,0.68898,0.40965,1.33587,0.89849,1.3107,0.00152397,0.00152397,0.00152397
15,309.116,1.17801,0.75816,1.15974,0.75942,0.64541,0.69179,0.41249,1.34572,0.89661,1.34835,0.00151297,0.00151297,0.00151297
16,328.619,1.17609,0.73548,1.15154,0.81895,0.64015,0.70836,0.4137,1.31605,0.88695,1.32575,0.00150197,0.00150197,0.00150197
17,348.536,1.17805,0.7477,1.14321,0.70921,0.61629,0.67011,0.40316,1.29816,0.99314,1.29093,0.00149096,0.00149096,0.00149096
18,368.078,1.16258,0.71208,1.12871,0.79163,0.63653,0.69265,0.39944,1.30575,0.99431,1.2853,0.00147996,0.00147996,0.00147996
19,387.633,1.15603,0.71264,1.14427,0.84581,0.66181,0.73566,0.43908,1.27446,0.94336,1.27968,0.00146896,0.00146896,0.00146896
20,407.071,1.1528,0.72114,1.13237,0.78097,0.67893,0.72681,0.4191,1.31094,0.92719,1.31148,0.00145796,0.00145796,0.00145796
21,426.655,1.13939,0.69792,1.12728,0.84906,0.68418,0.73932,0.43781,1.27641,0.74447,1.26982,0.00144696,0.00144696,0.00144696
22,446.137,1.13521,0.69397,1.13643,0.79279,0.67973,0.73101,0.43607,1.28154,0.80779,1.29035,0.00143595,0.00143595,0.00143595
